url,daywithdata
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170713,7/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170714,7/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170715,7/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170716,7/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170717,7/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170718,7/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170719,7/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20170720,7/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171001,10/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171002,10/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171003,10/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171004,10/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171005,10/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171006,10/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171007,10/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171008,10/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171009,10/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171010,10/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171011,10/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171012,10/12/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171013,10/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171014,10/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171015,10/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171016,10/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171017,10/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171018,10/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171019,10/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171020,10/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171021,10/21/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171022,10/22/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171023,10/23/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171024,10/24/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171025,10/25/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171026,10/26/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171027,10/27/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171028,10/28/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171029,10/29/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171030,10/30/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171031,10/31/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171101,11/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171102,11/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171103,11/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171104,11/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171105,11/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171106,11/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171107,11/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171108,11/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171109,11/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171110,11/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171111,11/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171112,11/12/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171113,11/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171114,11/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171115,11/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171116,11/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171117,11/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171118,11/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171119,11/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171120,11/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171121,11/21/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171122,11/22/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171123,11/23/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171124,11/24/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171125,11/25/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171126,11/26/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171127,11/27/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171128,11/28/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171129,11/29/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171130,11/30/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171201,12/1/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171202,12/2/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171203,12/3/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171204,12/4/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171205,12/5/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171206,12/6/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171207,12/7/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171208,12/8/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171209,12/9/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171210,12/10/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171211,12/11/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171212,12/12/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171213,12/13/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171214,12/14/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171215,12/15/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171216,12/16/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171217,12/17/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171218,12/18/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171219,12/19/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171220,12/20/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171221,12/21/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171222,12/22/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171223,12/23/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171224,12/24/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171225,12/25/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171226,12/26/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171227,12/27/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171228,12/28/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171229,12/29/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171230,12/30/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20171231,12/31/2017
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20180101,1/1/2018
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20180102,1/2/2018
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20180103,1/3/2018
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20180104,1/4/2018
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20180105,1/5/2018
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20180106,1/6/2018
http://cdec.water.ca.gov/reportapp/javareports?name=PAGE6.20180107,1/7/2018
